ID,List,Item,Condition,Matrix_num,Match,phrase_type,Preamble,meanRTperword,Correct,RT,Exp
5a01f5e49b760100013a682d,0,2,ps_prep,p,0,prep,The pamphlets from the British government agency,0.0,1,380,EXP6
5a01f5e49b760100013a682d,0,85,filler,-,-,-,This chain,0.0,1,477,EXP6
5a01f5e49b760100013a682d,0,32,ss_rel,s,1,rel,The ruler who enslaved the city-state,0.0,1,421,EXP6
5a01f5e49b760100013a682d,0,33,filler,-,-,-,The unhappy man,0.0,1,430,EXP6
5a01f5e49b760100013a682d,0,55,filler,-,-,-,Some chairs,0.0,1,390,EXP6
5a01f5e49b760100013a682d,0,25,pp_prep,p,1,prep,The directors of the forthcoming motion pictures,0.0,1,354,EXP6
5a01f5e49b760100013a682d,0,41,filler,-,-,-,A helpless lamb,0.0,1,380,EXP6
5a01f5e49b760100013a682d,0,72,filler,-,-,-,A staircase,0.0,1,477,EXP6
5a01f5e49b760100013a682d,0,22,ps_rel,p,0,rel,The composers who rewrote the opera,0.0,1,802,EXP6
5a01f5e49b760100013a682d,0,88,filler,-,-,-,Those shoes,0.0,1,670,EXP6
5a01f5e49b760100013a682d,0,19,sp_prep,s,0,prep,The star of the Broadway musicals,0.0,1,540,EXP6
5a01f5e49b760100013a682d,0,86,filler,-,-,-,That dull razor,0.0,1,659,EXP6
5a01f5e49b760100013a682d,0,46,filler,-,-,-,The policemen,0.0,1,597,EXP6
5a01f5e49b760100013a682d,0,21,pp_rel,p,1,rel,The pictures that embarrassed the politicians,0.0,1,457,EXP6
5a01f5e49b760100013a682d,0,37,filler,-,-,-,These hungry boys,0.0,1,386,EXP6
5a01f5e49b760100013a682d,0,71,filler,-,-,-,Those plants,0.0,1,421,EXP6
5a01f5e49b760100013a682d,0,20,ss_prep,s,1,prep,The corporation with the banking monopoly,0.0,1,544,EXP6
5a01f5e49b760100013a682d,0,59,filler,-,-,-,These crooked prongs,0.0,1,574,EXP6
5a01f5e49b760100013a682d,0,40,filler,-,-,-,Those unlucky firemen,0.0,1,427,EXP6
